,,"synergy
","antagonism
"
 3-[4-(1H-imidazol-1-ylmethyl)phenyl]-,"""2-Propenoic acid",0.0,2.0
" Curcuma longa L.""","""Curcumin",1.0,0.0
"""(13S)-3-hydroxy-13-methyl-7",8,1.0,0.0
"""(3S","4R)-Tofacitinib""",0.0,1.0
"""(6R)-5","10-Methylenetetrahydrofolate""",1.0,0.0
"""2-Methoxy-3",17beta-dihydroxyestra-1,9.0,2.0
"""2-Methoxy-3",ABT-263 (NAVITOCLAX),1.0,0.0
"""2-Methoxy-3",BMS-3,0.0,1.0
"""2-Methoxy-3",CHEMBL3188944,1.0,0.0
"""2-Methoxy-3",CHEMBL3348887,0.0,1.0
"""2-Methoxy-3",METHOTREXATE,1.0,0.0
"""2-Methoxy-3",MK-2206,1.0,0.0
"""2-Methoxy-3",Nintedanib,1.0,0.0
"""2-Methoxy-3",OSI-027,0.0,1.0
"""2-Methoxy-3",Picropodophyllin,1.0,0.0
"""2-Methoxy-3",YK-4-279,1.0,0.0
"""2-Methoxy-3",ZINC17545571,0.0,1.0
"""3-(3","4-dihydroxyphenyl)prop-2-enoic acid""",0.0,1.0
"""3\'","4\'-Diacetylafzelin""",1.0,1.0
"""4-[4-(4-methoxyphenyl)-5-methyl-1H-pyrazol-3-yl]benzene-1","3-diol""",0.0,1.0
"""5-[2-(4-hydroxyphenyl)vinyl]benzene-1","3-diol""",0.0,1.0
"""6-(7-hydroxy-6",7-dihydro-5H-pyrrolo[1,0.0,1.0
"""Akt-I-1","2""",1.0,0.0
"""L-690","330""",1.0,1.0
"""{(3r",4r)-4-Methyl-3-[methyl(7h-Pyrrolo[2,1.0,1.0
"""{2-[(2","6-dichlorophenyl)amino]phenyl}acetate""",0.0,1.0
(+)-BICUCULLINE,TEMOZOLOMIDE,1.0,0.0
(+)-JQ1,(+)-JQ1,2.0,0.0
(+)-JQ1,1088965-37-0,0.0,1.0
(+)-JQ1,117048-62-1,1.0,0.0
(+)-JQ1,118414-82-7,1.0,0.0
(+)-JQ1,1202884-94-3,1.0,0.0
(+)-JQ1,2-METHOXYESTRADIOL (2-MEOE2),1.0,0.0
(+)-JQ1,200484-11-3,1.0,0.0
(+)-JQ1,215303-72-3,1.0,0.0
(+)-JQ1,315703-52-7,1.0,0.0
(+)-JQ1,317318-70-0,0.0,1.0
(+)-JQ1,35922-06-6,1.0,0.0
(+)-JQ1,431979-47-4,0.0,1.0
(+)-JQ1,451492-95-8,2.0,0.0
(+)-JQ1,658084-64-1,0.0,1.0
(+)-JQ1,71555-25-4,1.0,0.0
(+)-JQ1,717906-29-1,0.0,1.0
(+)-JQ1,866323-14-0,3.0,0.0
(+)-JQ1,9-CIS-RETINOIC ACID,1.0,0.0
